TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
34:08.8,-56.403316,18.12238543,4.260923,4.262565,5.738651,5.737009,-0.531998,0.535282,-0.574687,0.577971,-0.249578,0.25943,-1.18221,1.18221,-2.03275,2.029466,2.036039,2.045891
34:09.8,-57.243801,18.39243326,4.418553,4.420195,5.773132,5.77149,-0.512295,0.515579,-0.61081,0.614094,-0.265998,0.27585,-1.228184,1.228184,-2.118132,2.114848,2.091866,2.101718
34:10.8,-57.566929,18.49625429,4.72232,4.723962,5.815823,5.814181,-0.528714,0.531998,-0.62723,0.630514,-0.305405,0.315257,-1.261024,1.261024,-2.160823,2.157539,2.131273,2.141125
34:11.8,-57.527641,18.48363105,5.040864,5.042506,5.860156,5.858514,-0.564838,0.568122,-0.653501,0.656785,-0.321825,0.331677,-1.293863,1.293863,-2.229785,2.226501,2.193668,2.20352
34:12.8,-55.253826,17.75305429,5.438224,5.439866,5.911057,5.909415,-0.545134,0.548418,-0.640365,0.643649,-0.325109,0.334961,-1.382528,1.382528,-2.384129,2.380845,2.249495,2.259347
34:13.8,-54.376038,17.47102101,5.888127,5.889769,5.934045,5.932403,-0.548418,0.551702,-0.640365,0.643649,-0.326751,0.336603,-1.464626,1.464626,-2.525338,2.522054,2.364432,2.374284
34:14.8,-54.42305,17.48612597,6.154129,6.155771,5.935687,5.934045,-0.551702,0.554986,-0.62723,0.630514,-0.318541,0.328393,-1.494181,1.494181,-2.564745,2.561461,2.364432,2.374284
34:15.8,-54.42305,17.48612597,6.292877,6.294519,5.948822,5.94718,-0.535282,0.538566,-0.548416,0.5517,-0.249578,0.25943,-1.500749,1.500749,-2.571313,2.568029,2.344729,2.354581
34:16.8,-58.762989,18.88054837,6.600749,6.602391,6.040772,6.03913,-0.535282,0.538566,-0.384219,0.387503,-0.147777,0.157629,-1.530305,1.530305,-2.715806,2.712522,2.380852,2.390704
34:17.8,-61.709106,19.82713576,6.802713,6.804355,6.16392,6.162278,-0.531998,0.535282,-0.193752,0.197036,-0.101802,0.111654,-1.6945,1.6945,-3.073753,3.070469,2.558185,2.568037
34:18.8,-64.229683,20.63699715,7.007962,7.009604,6.329759,6.328117,-0.535282,0.538566,-0.07553,0.078814,-0.003284,0.013136,-1.825857,1.825857,-3.400503,3.397219,2.781492,2.791344
34:19.8,-66.728188,21.4397668,7.203359,7.205001,6.600683,6.599041,-0.509011,0.512295,0.085382,0.082098,0.088666,0.078814,-1.990052,1.990052,-3.733821,3.730537,2.988381,2.998233
34:20.8,-67.764008,21.77257577,7.402039,7.403681,6.771448,6.769806,-0.472887,0.476171,0.187184,0.1839,0.088666,0.078814,-2.187087,2.187087,-4.049077,4.045793,3.136158,3.14601
34:21.8,-68.35862,21.96362461,7.531756,7.533398,6.832201,6.830559,-0.479455,0.482739,0.193752,0.190468,0.096876,0.087024,-2.259333,2.259333,-4.127891,4.124607,3.201837,3.211689
